request_id	correlation_id	batch_id	sample_index	qid	source_file	language	difficulty	subject	worker_dataset	gold	elapsed_ms	uenv_error_code	uenv_error_message	model_endpoint	request_time_cst	timeout_seconds	max_attempts_config	observed_server_reason
olymmath-OlymMATH-EASY-51-EN-978899df	olymmath-uenv-20260716_000508-51	olymmath-uenv-20260716_000508	51	OlymMATH-EASY-51-EN	OlymMATH-EN-EASY.jsonl	EN	EASY	Combinatorics	olymmath-easy	52	239180	5001	episode olymmath-OlymMATH-EASY-51-EN-978899df exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-HARD-57-EN-5bd477b0	olymmath-uenv-20260716_000508-157	olymmath-uenv-20260716_000508	157	OlymMATH-HARD-57-EN	OlymMATH-EN-HARD.jsonl	EN	HARD	Algebra	olymmath-hard	\frac{27}{32}	239414	5001	episode olymmath-OlymMATH-HARD-57-EN-5bd477b0 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-0-ZH-c822a6b3	olymmath-uenv-20260716_000508-200	olymmath-uenv-20260716_000508	200	OlymMATH-EASY-0-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	948	388292	5001	episode olymmath-OlymMATH-EASY-0-ZH-c822a6b3 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-2-ZH-b965f510	olymmath-uenv-20260716_000508-202	olymmath-uenv-20260716_000508	202	OlymMATH-EASY-2-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	3	185434	5001	episode olymmath-OlymMATH-EASY-2-ZH-b965f510 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-3-ZH-53deb4d6	olymmath-uenv-20260716_000508-203	olymmath-uenv-20260716_000508	203	OlymMATH-EASY-3-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\frac{18}{5}	240195	5001	episode olymmath-OlymMATH-EASY-3-ZH-53deb4d6 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-4-ZH-3f53a7b3	olymmath-uenv-20260716_000508-204	olymmath-uenv-20260716_000508	204	OlymMATH-EASY-4-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	801730806	244961	5001	episode olymmath-OlymMATH-EASY-4-ZH-3f53a7b3 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-5-ZH-38da4a22	olymmath-uenv-20260716_000508-205	olymmath-uenv-20260716_000508	205	OlymMATH-EASY-5-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	\pi -\arccos \frac{1}{8}	243633	5001	episode olymmath-OlymMATH-EASY-5-ZH-38da4a22 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-6-ZH-6f3308ab	olymmath-uenv-20260716_000508-206	olymmath-uenv-20260716_000508	206	OlymMATH-EASY-6-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	几何	olymmath-easy	2\sqrt{10}	239344	5001	episode olymmath-OlymMATH-EASY-6-ZH-6f3308ab exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-7-ZH-dd3575e8	olymmath-uenv-20260716_000508-207	olymmath-uenv-20260716_000508	207	OlymMATH-EASY-7-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	组合	olymmath-easy	78	239762	5001	episode olymmath-OlymMATH-EASY-7-ZH-dd3575e8 exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
olymmath-OlymMATH-EASY-8-ZH-41e0246d	olymmath-uenv-20260716_000508-208	olymmath-uenv-20260716_000508	208	OlymMATH-EASY-8-ZH	OlymMATH-ZH-EASY.jsonl	ZH	EASY	代数	olymmath-easy	\left[ -\frac{1}{8}, \frac{1}{8} \right]	243255	5001	episode olymmath-OlymMATH-EASY-8-ZH-41e0246d exceeded max attempts (3)	http://10.10.20.142:18094/v1	2026-07-16 15:05:08 UTC+08:00	7200	3	dispatch_failed / execute_episode_failed / h2 protocol error / CANCEL / exceeded max attempts(3)
