source_image	target_image	source_image_id	reported_size	architecture	status
swebench/swesmith.x86_64.adrienverge_1776_yamllint.8513d9b9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.adrienverge_1776_yamllint.8513d9b9:latest	fe4e56639cfe	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.agronholm_1776_exceptiongroup.0b4f4937:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.agronholm_1776_exceptiongroup.0b4f4937:latest	f4a8e972191e	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.agronholm_1776_typeguard.b6a7e438:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.agronholm_1776_typeguard.b6a7e438:latest	0d9c7d256a3a	4.92GB	linux/amd64	pending
swebench/swesmith.x86_64.aio-libs_1776_async-timeout.d0baa9f1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.aio-libs_1776_async-timeout.d0baa9f1:latest	017804acf6e5	4.86GB	linux/amd64	pending
swebench/swesmith.x86_64.akrylysov_1776_pogreb.76e9512d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.akrylysov_1776_pogreb.76e9512d:latest	7d19485f4465	1.4GB	linux/amd64	pending
swebench/swesmith.x86_64.alanjds_1776_drf-nested-routers.6144169d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.alanjds_1776_drf-nested-routers.6144169d:latest	5be54d87ee0b	4.94GB	linux/amd64	pending
swebench/swesmith.x86_64.alecthomas_1776_voluptuous.a7a55f83:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.alecthomas_1776_voluptuous.a7a55f83:latest	3e614fe48357	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.allegro_1776_bigcache.5aa251c4:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.allegro_1776_bigcache.5aa251c4:latest	d011803cbd94	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.amueller_1776_word_cloud.ec24191c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.amueller_1776_word_cloud.ec24191c:latest	996040e0e555	5.13GB	linux/amd64	pending
swebench/swesmith.x86_64.andialbrecht_1776_sqlparse.e57923b3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.andialbrecht_1776_sqlparse.e57923b3:latest	f891cf0bd098	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.antchfx_1776_xpath.8d50c252:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.antchfx_1776_xpath.8d50c252:latest	fb40014ecff8	1.33GB	linux/amd64	pending
swebench/swesmith.x86_64.antonmedv_1776_fx.1ab8a99b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.antonmedv_1776_fx.1ab8a99b:latest	55798efacb90	1.66GB	linux/amd64	pending
swebench/swesmith.x86_64.ariga_1776_atlas.1afaaba2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.ariga_1776_atlas.1afaaba2:latest	6ce18bf730bc	1.61GB	linux/amd64	pending
swebench/swesmith.x86_64.arp242_1776_goatcounter.854b1dd2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.arp242_1776_goatcounter.854b1dd2:latest	7e84ef96c718	1.85GB	linux/amd64	pending
swebench/swesmith.x86_64.arrow-py_1776_arrow.1d70d009:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.arrow-py_1776_arrow.1d70d009:latest	b6ee7b19255d	4.89GB	linux/amd64	pending
swebench/swesmith.x86_64.benoitc_1776_gunicorn.bacbf8aa:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.benoitc_1776_gunicorn.bacbf8aa:latest	48493f3047dd	4.89GB	linux/amd64	pending
swebench/swesmith.x86_64.bits-and-blooms_1776_bitset.167865a2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.bits-and-blooms_1776_bitset.167865a2:latest	b3c4ae327314	1.34GB	linux/amd64	pending
swebench/swesmith.x86_64.blevesearch_1776_bleve.f2876b5e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.blevesearch_1776_bleve.f2876b5e:latest	08e8015f8267	2.33GB	linux/amd64	pending
