run,source,step,actor/entropy,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,perf/mfu/actor,perf/mfu/actor_infer,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/gen,timing_s/old_log_prob,timing_s/ref,timing_s/reward,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,1,0.38374316692352295,0.267578125,0.0010000000000000002,0.0004994714715849113,0.0019163158722221851,1e-06,76.44973373413086,6.2056965827941895,8.041015625,0.00010289027413818985,0.0,0.001915816217660904,3.330596824469012e-05,1.7888504266738892,-0.0019138375064358115,-0.7302953600883484,1.7888504266738892,-0.0019138375064358115,-0.7302953600883484,1.0,0.01875000074505806,0.0,1.0,0.01875000074505806,0.0,9005.0,8929.0,11182.0,8971.125,6889.0,4293.0,2.0,2.0,2.0,0.0388077000358607,0.01763619556953438,53.237952084797136,168.50995668862015,71769.0,0.0,169.0,110.28125,79.0,0.0,0.02500000037252903,1024.0,338.2749938964844,110.0,0.02500000037252903,1024.0,338.2749938964844,110.0,0.00013515671416702903,2.9614772409643653,0.015543362247709094,0.04249835721748218,0.009700062219053507,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,94.0,234.0,0.0,0.0,0.0,0.0,160.2869941899553,2.3589845821261406,1.115531565155834,1.6590114682912827e-05,6.027985364198685e-05,168.50995668862015,9.468989446759224e-05,3.0500645991414785,1.6409527389332652,0.0,1.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,2,0.4168683588504791,0.000179290771484375,0.0010000000000000002,0.0005698053410014836,5.698053087144217e-07,1e-06,75.3497085571289,6.2056965827941895,10.732421875,0.0,0.0,0.0,4.734626722893154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8075.0,7899.0,9735.0,7924.375,5800.0,3935.0,2.0,2.0,2.0,0.04228154767620837,0.03184607513455149,57.40513900821562,138.04295463627204,63395.0,0.0,156.0,102.15625,73.0,0.0,0.0,978.0,294.0625,122.0,0.0,978.0,294.0625,122.0,0.00013891646159739794,2.8031013189744716,0.00845586771742056,0.039470852955368396,0.008806609082967043,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,128.0,374.0,0.0,0.0,0.0,0.0,131.88591705774888,1.2408439782448113,0.5360597339458764,1.7379876226186752e-05,7.602013647556305e-05,138.04295463627204,0.00011216010898351669,2.5022547231055796,1.830403939820826,0.0,2.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,3,0.48651254177093506,0.3203125,0.0010000000000000002,0.0005698148651163137,0.009857851080596447,1e-06,75.29032897949219,6.697269439697266,10.732421875,0.00010550611041253433,0.0,0.00985728355590254,-3.0323608427806903e-05,1.7888504266738892,-0.009881990030407906,-0.4472126066684723,1.7888504266738892,-0.009881990030407906,-0.4472126066684723,1.0,0.02500000037252903,0.0,1.0,0.02500000037252903,0.0,8966.0,8958.0,11048.0,8962.75,6652.0,4396.0,2.0,2.0,2.0,0.04578637566959832,0.03477739005685917,,157.99886010820046,71702.0,0.0,158.0,102.5,69.0,0.0,0.0,968.0,345.63751220703125,134.0,0.0,968.0,345.63751220703125,134.0,9.259976232988871e-05,2.739363182451619,0.00735003964772903,0.03641607291901505,0.006639588158577681,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,141.0,445.0,0.0,0.0,0.0,0.0,151.49226271593943,1.5805996200069785,0.5270125428214669,1.5579629689455032e-05,7.040007039904594e-05,157.99886010820046,9.56202857196331e-05,2.611105260439217,1.7435931460931897,0.0,3.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,4,0.4400636851787567,0.419921875,0.0010000000000000002,0.0005431295314792806,-0.012533042579889297,1e-06,75.62898635864258,6.697269439697266,10.92578125,2.2306341998046263e-05,0.0,-0.012533585075289011,-0.0001225101150566843,1.7888504266738892,0.012600570917129517,-0.4472126066684723,1.7888504266738892,0.012600570917129517,-0.4472126066684723,1.0,0.012500000186264515,0.0,1.0,0.012500000186264515,0.0,9282.0,9183.0,10011.0,9212.75,7782.0,2229.0,2.0,2.0,2.0,0.0448428134498247,0.03334305731468413,58.01743615608745,158.79278041888028,73702.0,0.0,150.0,109.9375,77.0,0.0,0.0,1022.0,350.70001220703125,81.0,0.0,1022.0,350.70001220703125,81.0,0.00012065497381707026,2.7088726603196065,0.007364401377318805,0.03713425385712735,0.008892512880265713,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,118.0,497.0,0.0,0.0,0.0,0.0,152.00026271585375,1.3498748848214746,0.5427711103111506,2.6139896363019943e-05,6.823008880019188e-05,158.79278041888028,9.970040991902351e-05,2.7368687777779996,2.1157583496533334,0.0,4.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,5,0.37764203548431396,0.251953125,0.0010000000000000002,0.0005464897666342949,-0.0004428343381732702,1e-06,75.7127456665039,6.697269439697266,10.92578125,7.870911795180291e-05,0.0,-0.0004433802096173167,-1.4851454363906668e-05,1.7888504266738892,0.00043956618173979223,-0.4472126066684723,1.7888504266738892,0.00043956618173979223,-0.4472126066684723,1.0,0.012500000186264515,0.0,1.0,0.012500000186264515,0.0,8244.0,8151.0,9421.0,8166.25,6688.0,2733.0,2.0,2.0,2.0,0.0398888314174776,0.026540826057138686,57.657419373096914,141.633983775042,65330.0,0.0,136.0,103.09375,80.0,0.0,0.0062500000931322575,1024.0,305.21875,93.0,0.0062500000931322575,1024.0,305.21875,93.0,0.0001403477531027396,2.7618725547454304,0.008252831642083583,0.04167925498292783,0.009168918710201979,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,97.0,242.0,0.0,0.0,0.0,0.0,134.87604621099308,1.4697127472609282,0.5391574911773205,2.0239967852830887e-05,7.320987060666084e-05,141.633983775042,8.72691161930561e-05,2.722905728034675,1.9788655107840896,0.0,5.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,6,0.4045942425727844,0.08984375,0.0010000000000000002,0.0005252908720194682,0.0011836877092719078,1e-06,75.73226547241211,6.697269439697266,10.92578125,9.03614447452128e-05,0.0,0.0011831623269245028,3.850466907806549e-05,1.7888504266738892,-0.0012012876104563475,-0.4472126066684723,1.7888504266738892,-0.0012012876104563475,-0.4472126066684723,1.0,0.0062500000931322575,0.0,1.0,0.0062500000931322575,0.0,8810.0,8802.0,10015.0,8807.875,7554.0,2461.0,2.0,2.0,2.0,0.04539705411823023,0.02815092963410684,,155.61213389318436,70463.0,0.0,178.0,105.34375,72.0,0.0,0.0,847.0,335.04998779296875,72.0,0.0,847.0,335.04998779296875,72.0,0.0001252059400400539,2.778583976286973,0.0077818470260793545,0.040757357770985984,0.008822386153042316,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,102.0,287.0,0.0,0.0,0.0,0.0,148.95432980079204,1.5009555430151522,0.5483322869986296,1.7171259969472885e-05,6.90799206495285e-05,155.61213389318436,8.2370825111866e-05,2.8718857006169856,1.6892894441261888,0.0,6.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,7,0.5168192386627197,0.2333984375,0.0010000000000000002,0.0006087235655058976,0.004894081968814135,1e-06,75.8796501159668,6.697269439697266,10.92578125,2.040193066932261e-05,0.0,0.004893473465926945,-3.860020026422717e-05,1.7888504266738892,-0.004872025456279516,-0.4472126066684723,1.7888504266738892,-0.004872025456279516,-0.4472126066684723,1.0,0.012500000186264515,0.0,1.0,0.012500000186264515,0.0,8862.0,8848.0,10851.0,8852.875,7650.0,3201.0,2.0,2.0,2.0,0.045279325583684,0.035635656809294876,56.94608057391473,155.46065525105223,70823.0,0.0,138.0,100.71875,75.0,0.0,0.0062500000931322575,1024.0,341.92498779296875,119.0,0.0062500000931322575,1024.0,341.92498779296875,119.0,9.666810225966104e-05,2.721756737829867,0.00789638851785009,0.03677837372404982,0.006846325006335974,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,115.0,239.0,0.0,0.0,0.0,0.0,148.90186761319637,1.1999820661731064,0.559245923999697,1.8860213458538055e-05,8.013006299734116e-05,155.46065525105223,8.289003744721413e-05,2.6047547622583807,2.1495557902380824,0.0,7.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,8,0.42660263180732727,0.240234375,0.0010000000000000002,0.0006346000600387924,-0.0023029539734125137,1e-06,75.82912826538086,6.697269439697266,10.927734375,3.803520376095548e-05,0.0,-0.002303588786162436,0.00011334574937791331,1.7888504266738892,0.0023133340291678905,-0.4472126066684723,1.7888504266738892,0.0023133340291678905,-0.4472126066684723,1.0,0.012500000186264515,0.0,1.0,0.012500000186264515,0.0,8450.0,8439.0,9128.0,8446.625,7131.0,1997.0,2.0,2.0,2.0,0.043788730246768215,0.034561644978169805,58.317730500777,144.8380265738815,67573.0,0.0,184.0,100.9375,78.0,0.0,0.0,911.0,321.39373779296875,91.0,0.0,911.0,321.39373779296875,91.0,0.00013127124896739002,2.6917333436822948,0.00801288672719389,0.038170648569134845,0.008870392106473446,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,108.0,311.0,0.0,0.0,0.0,0.0,138.41700373217463,1.2157709896564484,0.5414547948166728,1.5400350093841553e-05,6.680004298686981e-05,144.8380265738815,8.358992636203766e-05,2.579305235762149,2.037615336943418,0.0,8.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,9,0.4129902124404907,0.3984375,0.0010000000000000002,0.0006378076052442339,0.012238448485732079,1e-06,75.77330780029297,6.713120937347412,10.927734375,0.0001778680059942417,0.0,0.01223781204316765,0.00019829049588224735,1.7888504266738892,-0.012207926250994205,-0.4472126066684723,1.7888504266738892,-0.012207926250994205,-0.4472126066684723,1.0,0.02500000037252903,0.0,1.0,0.02500000037252903,0.0,9172.0,9110.0,11836.0,9120.75,7841.0,3995.0,2.0,2.0,2.0,0.04362208630283108,0.03696289958005659,,158.92234553117305,72966.0,0.0,166.0,111.6875,76.0,0.0,0.0062500000931322575,1024.0,344.3500061035156,107.0,0.0062500000931322575,1024.0,344.3500061035156,107.0,0.0001264861741350875,2.758467760256797,0.0077332660806111895,0.04205503678414677,0.009229190181940794,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,102.0,444.0,0.0,0.0,0.0,0.0,151.9805397191085,1.2187616298906505,0.5642654928378761,1.3689976185560226e-05,6.9428700953722e-05,158.92234553117305,8.636713027954102e-05,3.0685878139920533,2.0463253343477845,0.0,9.0
layer4_distributed_20260619_102901,/data/ronghao/uenv/uenv-bridge/temp/logs/verl_layer4_agent_loop/layer4_distributed_20260619_102901.log,10,0.3891783654689789,0.353515625,0.0010000000000000002,0.0005748747740881299,0.009159758687019348,1e-06,75.83792877197266,6.713120937347412,10.943359375,0.00013020488258916885,0.0,0.009159184177406132,7.419712630962749e-06,1.7888504266738892,-0.009152955375611782,-0.4472126066684723,1.7888504266738892,-0.009152955375611782,-0.4472126066684723,1.0,0.02500000037252903,0.0,1.0,0.02500000037252903,0.0,8277.0,8252.0,10187.0,8262.875,6506.0,3681.0,2.0,2.0,2.0,0.040240366712411796,0.030974460227349353,59.43006738618668,139.0352621730417,66103.0,0.0,154.0,99.21875,76.0,0.0,0.0,904.0,313.92498779296875,112.0,0.0,904.0,313.92498779296875,112.0,0.0001355861284970036,2.6357142147853225,0.008277694314000047,0.041346405899145705,0.00896264985203743,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,113.0,475.0,0.0,0.0,0.0,0.0,132.38665358023718,1.3126004082150757,0.5471804272383451,1.6408972442150116e-05,7.00969249010086e-05,139.0352621730417,8.53068195283413e-05,2.7331214691512287,2.008623339701444,0.0,10.0
