[transformers] `Qwen2VLImageProcessorFast` is deprecated. The `Fast` suffix for image processors has been removed; use `Qwen2VLImageProcessor` instead.
/workspace/verl/verl/workers/engine/mindspeed/transformer_impl.py:24: UserWarning: NPU not support router replay for now.
  from verl.utils.megatron.router_replay_patch import RouterReplay
/uenv/uenv-bridge/scripts/run_verl_main_ppo.py:41: FutureWarning: Warning: Function 'verl.trainer.main_ppo.main' is deprecated. Please use 'main_ppo.py is deprecated, and wil be replaced by main_ppo_sync.py in v0.8.0, please use main_ppo_sync.py instead.' instead.
  main_ppo.main()
2026-08-23 22:35:51,345	INFO worker.py:1951 -- Started a local Ray instance.
[36m(pid=2437)[0m /uenv/uenv-bridge/src/sitecustomize.py:43: UserWarning: NPU not support router replay for now.
[36m(pid=2437)[0m   module = original_import(name, globals, locals, fromlist, level)
[36m(TaskRunner pid=2437)[0m [transformers] `Qwen2VLImageProcessorFast` is deprecated. The `Fast` suffix for image processors has been removed; use `Qwen2VLImageProcessor` instead.
ray init kwargs: {'num_cpus': 32, 'num_gpus': 8, 'runtime_env': {'env_vars': {'NCCL_DEBUG': 'WARN', 'VLLM_LOGGING_LEVEL': 'INFO', 'VLLM_ALLOW_RUNTIME_LORA_UPDATING': 'true', 'CUDA_DEVICE_MAX_CONNECTIONS': '1', 'VLLM_DISABLE_COMPILE_CACHE': '1', 'HCCL_HOST_SOCKET_PORT_RANGE': 'auto', 'HCCL_NPU_SOCKET_PORT_RANGE': 'auto', 'HSA_NO_SCRATCH_RECLAIM': '1', 'PYTHONPATH': '/workspace/verl:/uenv/uenv-bridge/src', 'PROTOCOL_BUFFERS_PYTHON_IMPLEMENTATION': 'python', 'UENV_DEVICE_BACKEND': 'cuda', 'UENV_OBS_URL': 'http://8.130.75.157:8888/obs', 'UENV_OBS_TOKEN': '', 'UENV_OBS_HEARTBEAT_INTERVAL_SECONDS': '30', 'UENV_TRAINING_RUN_ID': 'verl_swesmith_grpo_uenv_align20_20260824_133530', 'UENV_AGENT_POOL_ID': 'openhands-uenv-align-qwen', 'UENV_OBS_PLANNED_STEP_TOTAL': '20', 'UENV_OBS_PLANNED_EPISODE_TOTAL': '160', 'ASCEND_VISIBLE_DEVICES': '0', 'ASCEND_RT_VISIBLE_DEVICES': '0', 'TORCH_DEVICE_BACKEND_AUTOLOAD': '0', 'RAY_EXPERIMENTAL_NOSET_ASCEND_RT_VISIBLE_DEVICES': '1', 'UENV_PATCH_VERL_MODEL_VERSION_RESPONSE': 'enabled', 'UENV_PATCH_VERL_TEXT_ONLY_PROCESSOR': 'enabled', 'UENV_PATCH_VERL_EMPTY_RESPONSE_BATCH': 'enabled', 'VERL_LOGGING_LEVEL': 'INFO'}, 'working_dir': None}, 'include_dashboard': False}
[36m(TaskRunner pid=2437)[0m TaskRunner hostname: user, PID: 2437
[36m(TaskRunner pid=2437)[0m {'actor_rollout_ref': {'actor': {'_target_': 'verl.workers.config.FSDPActorConfig',
[36m(TaskRunner pid=2437)[0m                                  'calculate_entropy': False,
[36m(TaskRunner pid=2437)[0m                                  'calculate_sum_pi_squared': False,
[36m(TaskRunner pid=2437)[0m                                  'checkpoint': {'_target_': 'verl.trainer.config.CheckpointConfig',
[36m(TaskRunner pid=2437)[0m                                                 'async_save': False,
